565991212,634184148,102941456,5.70,51.72441,-0.29625,51.72383,-0.29567,4
25959329,102963070,102963073,7.11,51.75960,-0.24614,51.76022,-0.24612,5
25959329,102963073,102963070,7.11,51.76022,-0.24612,51.75960,-0.24614,5
25961897,102962094,102962092,9.08,51.73694,-0.21972,51.73764,-0.22047,5
25961897,102962092,102962094,9.08,51.73764,-0.22047,51.73694,-0.21972,5
866292122,568880785,910084968,1.80,51.76605,-0.23017,51.76623,-0.23018,5
866292122,910084968,568880785,1.80,51.76623,-0.23018,51.76605,-0.23017,5
25955857,102965316,102965307,1.81,51.77883,-0.22179,51.77841,-0.22198,2
77741597,568880844,568880843,0.81,51.79651,-0.20710,51.79646,-0.20719,5
25958310,102972265,102972269,9.34,51.76279,-0.15891,51.76370,-0.15858,5
25958310,102972269,102972265,9.34,51.76370,-0.15858,51.76279,-0.15891,5
25990699,102964338,102964340,6.71,51.79366,-0.23814,51.79416,-0.23911,5
25990699,102964340,102964338,6.71,51.79416,-0.23911,51.79366,-0.23814,5
774533819,103639130,845762825,2.62,51.80290,-0.20225,51.80300,-0.20273,4
25782535,102945559,102945570,9.67,51.76676,-0.30510,51.76711,-0.30655,5
25782535,102945570,102945559,9.67,51.76711,-0.30655,51.76676,-0.30510,5
25988893,102940221,102940424,15.86,51.74117,-0.31417,51.74201,-0.31334,5
25988893,102940424,102940221,15.86,51.74201,-0.31334,51.74117,-0.31417,5
25959593,102962815,102962822,4.15,51.75824,-0.25379,51.75836,-0.25315,5
25959593,102962822,102962815,4.15,51.75836,-0.25315,51.75824,-0.25379,5
25956867,102965215,102965681,1.59,51.77215,-0.20753,51.77223,-0.20714,3
25957041,102963903,102963999,12.60,51.77124,-0.22966,51.77219,-0.22833,5
25957041,102963999,102963903,12.60,51.77219,-0.22833,51.77124,-0.22966,5
25961934,102960272,102960273,4.12,51.73698,-0.24932,51.73739,-0.24926,5
25961934,102960273,102960272,4.12,51.73739,-0.24926,51.73698,-0.24932,5
586304930,102962572,750536841,3.55,51.72706,-0.18638,51.72723,-0.18646,5
586304930,750536841,102962572,3.55,51.72723,-0.18646,51.72706,-0.18638,5
25514868,102941234,102941280,5.54,51.72690,-0.30088,51.72726,-0.30031,5
25514868,102941280,102941234,5.54,51.72726,-0.30031,51.72690,-0.30088,5
704587534,703093861,703093860,4.81,51.72400,-0.31096,51.72448,-0.31093,5
704587534,703093860,703093861,4.81,51.72448,-0.31093,51.72400,-0.31096,5
761971375,102941142,837115677,3.85,51.71759,-0.30044,51.71799,-0.30081,4
761971375,837115677,102941142,3.85,51.71799,-0.30081,51.71759,-0.30044,4
25953850,102972200,102972210,2.92,51.79060,-0.17179,51.79078,-0.17142,5
25953850,102972210,102972200,2.92,51.79078,-0.17142,51.79060,-0.17179,5
25953703,102966273,102966269,0.87,51.79167,-0.19304,51.79163,-0.19318,4
863090640,102946536,907870477,7.91,51.79960,-0.30334,51.80071,-0.30401,5
863090640,907870477,102946536,7.91,51.80071,-0.30401,51.79960,-0.30334,5
845069303,907960561,894624487,73.44,51.80032,-0.23899,51.80352,-0.24037,5
845069303,894624487,907960561,73.44,51.80352,-0.24037,51.80032,-0.23899,5
25787560,102941854,102941921,6.01,51.74834,-0.29757,51.74894,-0.29754,5
25787560,102941921,102941854,6.01,51.74894,-0.29754,51.74834,-0.29757,5
25954308,102965955,102965943,5.13,51.78899,-0.20271,51.78905,-0.20353,5
25954308,102965943,102965955,5.13,51.78905,-0.20353,51.78899,-0.20271,5
565988034,634179298,634179291,6.34,51.76207,-0.24564,51.76279,-0.24603,5
565988034,634179291,634179298,6.34,51.76279,-0.24603,51.76207,-0.24564,5
26007624,102962023,102962107,22.13,51.73784,-0.22187,51.73861,-0.21855,5
26007624,102962107,102962023,22.13,51.73861,-0.21855,51.73784,-0.22187,5
25953485,102968406,102968401,16.02,51.79279,-0.18565,51.79316,-0.18816,5
25953485,102968401,102968406,16.02,51.79316,-0.18816,51.79279,-0.18565,5
25515627,102941398,102941396,4.10,51.72024,-0.29100,51.72057,-0.29139,5
25515627,102941396,102941398,4.10,51.72057,-0.29139,51.72024,-0.29100,5
25785594,102946311,103650581,21.10,51.75340,-0.27462,51.75489,-0.26975,3
25785594,103650581,102946311,21.10,51.75489,-0.26975,51.75340,-0.27462,3
25786088,102945490,102945493,5.39,51.75205,-0.29991,51.75206,-0.29887,3
25786088,102945493,102945490,5.39,51.75206,-0.29887,51.75205,-0.29991,3
25952948,102966782,102967897,20.06,51.79634,-0.20642,51.79863,-0.20525,4
25952948,102967897,102966782,20.06,51.79863,-0.20525,51.79634,-0.20642,4
761960925,837108988,102941288,2.06,51.72773,-0.29972,51.72794,-0.29993,4
761960925,102941288,837108988,2.06,51.72794,-0.29993,51.72773,-0.29972,4
849850888,897851815,897851816,20.79,51.73435,-0.25535,51.73459,-0.25669,5
849850888,897851816,897851815,20.79,51.73459,-0.25669,51.73435,-0.25535,5
586290068,568890888,102962979,0.63,51.75286,-0.24589,51.75270,-0.24601,2
780175103,849702998,849702996,186.35,51.77242,-0.24899,51.77248,-0.24896,5
780175103,849702996,849702998,186.35,51.77248,-0.24896,51.77242,-0.24899,5
25786342,102941993,102941994,4.02,51.75100,-0.29230,51.75137,-0.29205,5
25786342,102941994,102941993,4.02,51.75137,-0.29205,51.75100,-0.29230,5
25979645,102972580,102972579,1.01,51.79611,-0.18343,51.79613,-0.18359,5
25979645,102972579,102972580,1.01,51.79613,-0.18359,51.79611,-0.18343,5
30481600,102972506,102972507,2.14,51.78808,-0.15237,51.78780,-0.15167,3
780274428,849769750,849769748,13.30,51.74061,-0.21973,51.74149,-0.21759,5
780274428,849769748,849769750,13.30,51.74149,-0.21759,51.74061,-0.21973,5
783571012,102942214,851893566,3.61,51.71792,-0.27849,51.71839,-0.27806,5
